# {"t_start": 1687708283.503118, "env_id": "Point2DLargeEnv-v1"} 
r,l,t
-13.0,50,38.863897
-10.0,50,38.893872
-4.0,50,38.923417
-10.0,50,38.953078
-10.0,50,38.982736
-4.0,50,39.012756
-11.0,50,39.043065
-7.0,50,39.073569
-5.0,50,39.110229
-11.0,50,39.142874
-2.0,50,39.183014
-10.0,50,39.219202
-8.0,50,39.249741
0.0,50,39.280157
-13.0,50,39.309322
-5.0,50,39.341668
-6.0,50,39.378208
-3.0,50,39.412565
0.0,50,39.443477
-10.0,50,39.479753
-8.0,50,39.514942
-1.0,50,39.550186
-11.0,50,39.585084
-9.0,50,39.622001
-3.0,50,39.656118
-7.0,50,39.692949
-10.0,50,39.727996
-10.0,50,39.764039
-6.0,50,39.8008
-3.0,50,39.837497
-9.0,50,39.868215
-8.0,50,39.896986
-11.0,50,39.926756
-1.0,50,39.95415
-11.0,50,39.980792
0.0,50,40.007773
-10.0,50,40.035471
-2.0,50,40.065053
-9.0,50,40.101051
-9.0,50,40.1329
-5.0,50,40.170478
-8.0,50,40.201769
-8.0,50,40.233683
-3.0,50,40.268089
-3.0,50,40.297705
-8.0,50,40.32622
-10.0,50,40.354759
-10.0,50,40.383115
-6.0,50,40.416316
-9.0,50,40.453233
-7.0,50,40.499243
-5.0,50,40.536093
-9.0,50,40.570592
-10.0,50,40.606761
-10.0,50,40.637105
-12.0,50,40.667744
-4.0,50,40.697386
-7.0,50,41.175211
-10.0,50,41.203559
-6.0,50,41.231295
-9.0,50,41.262835
-4.0,50,41.291326
-3.0,50,41.321903
-4.0,50,41.352588
0.0,50,41.384117
-12.0,50,41.423252
-7.0,50,41.458395
-9.0,50,41.495752
-7.0,50,41.53044
-11.0,50,41.566047
-5.0,50,41.606244
-7.0,50,41.641759
-10.0,50,41.677343
-9.0,50,41.710551
-7.0,50,41.743335
-3.0,50,41.776122
0.0,50,41.810491
-7.0,50,41.846402
-11.0,50,41.881516
-12.0,50,41.917633
-5.0,50,41.95282
-13.0,50,41.989959
-4.0,50,42.023809
-13.0,50,42.059821
-1.0,50,42.102026
-8.0,50,42.137349
-6.0,50,42.171829
0.0,50,42.202903
-7.0,50,42.236742
-12.0,50,42.270813
-6.0,50,42.3027
-14.0,50,42.33406
-5.0,50,42.364872
-9.0,50,42.394633
0.0,50,42.423971
-10.0,50,42.455318
-7.0,50,42.484472
-9.0,50,42.514066
-8.0,50,42.542905
-5.0,50,42.573699
-9.0,50,42.608872
-3.0,50,42.641466
-6.0,50,42.673827
0.0,50,42.705144
-6.0,50,42.734965
-11.0,50,42.763732
-9.0,50,42.793013
-9.0,50,42.81966
-10.0,50,42.849199
-15.0,50,42.880356
0.0,50,42.911708
-11.0,50,42.942088
-8.0,50,42.973458
-9.0,50,43.010001
-9.0,50,43.043899
-15.0,50,43.0751
-3.0,50,43.108428
-14.0,50,43.138338
-2.0,50,43.166413
-7.0,50,43.194201
